"species","Width"
"Tapirus_terrestris",3.96
"Tapirus_terrestris",7.73
"Tapirus_terrestris",4.22
"Tapirus_terrestris",4.08
"Tapirus_terrestris",4.87
"Tapirus_terrestris",2.1
"Tapirus_terrestris",11.06
"Tapirus_terrestris",5.32
"Tapirus_terrestris",10.33
"Tapirus_terrestris",2.97
"Tapirus_terrestris",5.31
"Tapirus_terrestris",21.91
"Tapirus_terrestris",6.28
"Tapirus_terrestris",5.49
"Tapirus_terrestris",5.6
"Tapirus_terrestris",2.97
"Tapirus_terrestris",2.21
"Tapirus_terrestris",2.97
"Tapirus_terrestris",5.04
"Tapirus_terrestris",11.38
"Tapirus_terrestris",4.95
"Tapirus_terrestris",3.96
"Tapirus_terrestris",2.21
"Tapirus_terrestris",8.58
"Tapirus_terrestris",3.96
"Tapirus_terrestris",15.25
"Tapirus_terrestris",4.73
"Tapirus_terrestris",7.81
"Tapirus_terrestris",6.12
"Tapirus_terrestris",5.22
"Tapirus_terrestris",4.87
"Tapirus_terrestris",2.77
"Tapirus_terrestris",4.95
"Tapirus_terrestris",8.63
"Tapirus_terrestris",7.62
"Tapirus_terrestris",4.94
"Tapirus_terrestris",4.95
"Tapirus_terrestris",4.95
"Tapirus_terrestris",14.26
"Tapirus_terrestris",11.25
"Tapirus_terrestris",9.1
"Tapirus_terrestris",4.61
"Tapirus_terrestris",3.48
"Tapirus_terrestris",3.48
"Tapirus_terrestris",3.48
"Tapirus_terrestris",4.35
"Tapirus_terrestris",3.83
"Tapirus_terrestris",2.96
"Tapirus_terrestris",4.78
"Tapirus_terrestris",5.4
"Tapirus_terrestris",2.3
"Tapirus_terrestris",2.31
"Tapirus_terrestris",4.29
"Tapirus_terrestris",5.29
"Tapirus_terrestris",2.39
"Tapirus_terrestris",3.83
"Tapirus_terrestris",2.71
"Tapirus_terrestris",3.49
"Tapirus_terrestris",4.51
"Tapirus_terrestris",2.88
"Tapirus_terrestris",10.63
"Tapirus_terrestris",5.16
"Tapirus_terrestris",4.98
"Tapirus_terrestris",11.87
"Tapirus_terrestris",5.83
"Tapirus_terrestris",4.71
"Tapirus_terrestris",8.44
"Tapirus_terrestris",2.11
"Tapirus_terrestris",2.81
"Tapirus_terrestris",3.51
"Tapirus_terrestris",4.25
"Tapirus_terrestris",3.51
"Tapirus_terrestris",5.27
"Tapirus_terrestris",2.81
"Tapirus_terrestris",4.21
"Tapirus_terrestris",2.67
"Tapirus_terrestris",5.11
"Tapirus_terrestris",2.98
"Tapirus_terrestris",3.46
"Tapirus_terrestris",3.23
"Tapirus_terrestris",2.81
"Tapirus_terrestris",2.98
"Tapirus_terrestris",2.81
"Tapirus_terrestris",3.51
"Tapirus_terrestris",3.11
"Tapirus_terrestris",3.23
"Tapirus_terrestris",3.51
"Tapirus_terrestris",3.51
"Tapirus_terrestris",2.76
"Tapirus_terrestris",2.48
"Tapirus_terrestris",3.51
"Tapirus_terrestris",2.81
"Tapirus_terrestris",2.81
"Tapirus_terrestris",3.51
"Tapirus_terrestris",13.45
"Tapirus_terrestris",2.81
"Tapirus_terrestris",3.51
"Tapirus_terrestris",2.81
"Tapirus_terrestris",2.44
"Tapirus_terrestris",2.81
"Tapirus_terrestris",8.49
"Tapirus_terrestris",2.74
"Tapirus_terrestris",4.92
"Tapirus_terrestris",4.92
"Tapirus_terrestris",5.45
"Tapirus_terrestris",4.3
"Tapirus_terrestris",3.51
"Tapirus_terrestris",2.51
"Tapirus_terrestris",5.62
"Tapirus_terrestris",2.81
"Tapirus_terrestris",4.15
"Tapirus_terrestris",2.98
"Tapirus_terrestris",4.44
"Tapirus_terrestris",3.51
"Tapirus_terrestris",3.51
"Tapirus_terrestris",4.92
"Tapirus_terrestris",2.81
"Tapirus_terrestris",2.81
"Tapirus_terrestris",5.66
"Tapirus_terrestris",10.61
"Tapirus_terrestris",4.21
"Tapirus_terrestris",28.43
"Tapirus_terrestris",4.13
"Tapirus_terrestris",2.98
"Tapirus_terrestris",3.51
"Tapirus_terrestris",5.62
"Tapirus_terrestris",2.48
"Tapirus_terrestris",4.09
"Tapirus_terrestris",3.51
"Tapirus_terrestris",3.51
"Tapirus_terrestris",2.44
"Tapirus_terrestris",4.89
"Tapirus_terrestris",2.81
"Tapirus_terrestris",4.4
"Tapirus_terrestris",4.71
"Tapirus_terrestris",10.39
"Tapirus_terrestris",2.81
"Tapirus_terrestris",4.92
"Tapirus_terrestris",3.48
"Tapirus_terrestris",3.14
"Tapirus_terrestris",2.81
"Tapirus_terrestris",3.24
"Tapirus_terrestris",3.48
"Tapirus_terrestris",7.98
"Tapirus_terrestris",2.98
"Tapirus_terrestris",3.51
"Tapirus_terrestris",2.81
"Tapirus_terrestris",4.21
"Tapirus_terrestris",3.46
"Tapirus_terrestris",4.22
"Tapirus_terrestris",2.81
"Tapirus_terrestris",3.48
"Tapirus_terrestris",3.48
"Tapirus_terrestris",2.92
"Tapirus_terrestris",5.62
"Tapirus_terrestris",2.98
"Tapirus_terrestris",5.62
"Tapirus_terrestris",4.72
"Tapirus_terrestris",3.48
"Tapirus_terrestris",14.18
"Tapirus_terrestris",5.45
"Tapirus_terrestris",4.92
"Tapirus_terrestris",3.51
"Tapirus_terrestris",2.48
"Tapirus_terrestris",3.44
"Tapirus_terrestris",10.05
"Tapirus_terrestris",5.34
"Tapirus_terrestris",3.33
"Tapirus_terrestris",4.21
"Tapirus_terrestris",2.81
"Tapirus_terrestris",1.99
"Tapirus_terrestris",2.48
"Tapirus_terrestris",5.97
"Tapirus_terrestris",2.52
"Tapirus_terrestris",6.87
"Tapirus_terrestris",3.48
"Tapirus_terrestris",3.08
"Tapirus_terrestris",2.81
"Tapirus_terrestris",4.21
"Tapirus_terrestris",2.81
"Tapirus_terrestris",7.85
"Tapirus_terrestris",4.68
"Tapirus_terrestris",2.81
"Tapirus_terrestris",5.62
"Tapirus_terrestris",7.45
"Tapirus_terrestris",2.48
"Tapirus_terrestris",4.21
"Tapirus_terrestris",5.62
"Tapirus_terrestris",15.45
"Tapirus_terrestris",2.48
"Tapirus_terrestris",2.83
"Tapirus_terrestris",2.81
"Tapirus_terrestris",2.48
"Tapirus_terrestris",3.51
"Tapirus_terrestris",9.69
"Tapirus_terrestris",9.23
"Tapirus_terrestris",6.32
"Tapirus_terrestris",3.46
"Tapirus_terrestris",2.11
"Tapirus_terrestris",4.97
"Tapirus_terrestris",2.81
"Tapirus_terrestris",5.87
"Tapirus_terrestris",4.92
"Tapirus_terrestris",2.81
"Tapirus_terrestris",4.92
"Tapirus_terrestris",2.11
"Tapirus_terrestris",4
