"species","Length"
"Myrmecophaga_tridactyla",7.95
"Myrmecophaga_tridactyla",36.27
"Myrmecophaga_tridactyla",6.83
"Myrmecophaga_tridactyla",25.78
"Myrmecophaga_tridactyla",4.1
"Myrmecophaga_tridactyla",5.8
"Myrmecophaga_tridactyla",3.42
"Myrmecophaga_tridactyla",8.7
"Myrmecophaga_tridactyla",3.75
"Myrmecophaga_tridactyla",8.15
"Myrmecophaga_tridactyla",3.87
"Myrmecophaga_tridactyla",36.79
"Myrmecophaga_tridactyla",4.1
"Myrmecophaga_tridactyla",10.37
"Tapirus_terrestris",7.64
"Tapirus_terrestris",17.42
"Tapirus_terrestris",5.47
"Tapirus_terrestris",5.69
"Tapirus_terrestris",23.73
"Tapirus_terrestris",3.96
"Tapirus_terrestris",10.52
"Tapirus_terrestris",7.75
"Tapirus_terrestris",6.49
"Tapirus_terrestris",6.64
"Tapirus_terrestris",3.5
"Tapirus_terrestris",31.77
"Tapirus_terrestris",9.4
"Tapirus_terrestris",16.41
"Tapirus_terrestris",4.95
"Tapirus_terrestris",6.2
"Tapirus_terrestris",22.88
"Tapirus_terrestris",7.3
"Tapirus_terrestris",14.01
"Tapirus_terrestris",7
"Tapirus_terrestris",4.95
"Tapirus_terrestris",4.43
"Tapirus_terrestris",2.97
"Tapirus_terrestris",5.52
"Tapirus_terrestris",17.32
"Tapirus_terrestris",4.95
"Tapirus_terrestris",4.95
"Tapirus_terrestris",3.99
"Tapirus_terrestris",13.1
"Tapirus_terrestris",4.95
"Tapirus_terrestris",20.4
"Tapirus_terrestris",12.37
"Tapirus_terrestris",17.32
"Tapirus_terrestris",15.36
"Tapirus_terrestris",6.59
"Tapirus_terrestris",6.64
"Tapirus_terrestris",5.55
"Tapirus_terrestris",8.91
"Tapirus_terrestris",22.63
"Tapirus_terrestris",8.43
"Tapirus_terrestris",14.01
"Tapirus_terrestris",4.95
"Tapirus_terrestris",5.94
"Tapirus_terrestris",30.5
"Tapirus_terrestris",23.62
"Tapirus_terrestris",14.71
"Tapirus_terrestris",8.53
"Tapirus_terrestris",6.96
"Tapirus_terrestris",4.35
"Tapirus_terrestris",4.35
"Tapirus_terrestris",5.22
"Tapirus_terrestris",4.79
"Tapirus_terrestris",5.92
"Tapirus_terrestris",9.04
"Tapirus_terrestris",13.86
"Tapirus_terrestris",6.9
"Tapirus_terrestris",5.7
"Tapirus_terrestris",12
"Tapirus_terrestris",15.59
"Tapirus_terrestris",5.58
"Tapirus_terrestris",4.79
"Tapirus_terrestris",3.39
"Tapirus_terrestris",9.07
"Tapirus_terrestris",9.59
"Tapirus_terrestris",4.79
"Tapirus_terrestris",18
"Tapirus_terrestris",6.41
"Tapirus_terrestris",7.28
"Tapirus_terrestris",69.16
"Tapirus_terrestris",9.22
"Tapirus_terrestris",5.03
"Tapirus_terrestris",9.93
"Tapirus_terrestris",3.51
"Tapirus_terrestris",9.13
"Tapirus_terrestris",5.62
"Tapirus_terrestris",9.06
"Tapirus_terrestris",4.21
"Tapirus_terrestris",12.25
"Tapirus_terrestris",2.81
"Tapirus_terrestris",7.02
"Tapirus_terrestris",4.44
"Tapirus_terrestris",5.77
"Tapirus_terrestris",3.97
"Tapirus_terrestris",5.65
"Tapirus_terrestris",5.48
"Tapirus_terrestris",2.81
"Tapirus_terrestris",4.47
"Tapirus_terrestris",4.21
"Tapirus_terrestris",4.21
"Tapirus_terrestris",3.11
"Tapirus_terrestris",7.29
"Tapirus_terrestris",3.51
"Tapirus_terrestris",3.51
"Tapirus_terrestris",4.13
"Tapirus_terrestris",3.48
"Tapirus_terrestris",4.21
"Tapirus_terrestris",4.21
"Tapirus_terrestris",6.32
"Tapirus_terrestris",11.94
"Tapirus_terrestris",17.94
"Tapirus_terrestris",3.51
"Tapirus_terrestris",5.62
"Tapirus_terrestris",2.81
"Tapirus_terrestris",4.89
"Tapirus_terrestris",3.51
"Tapirus_terrestris",16.21
"Tapirus_terrestris",4.7
"Tapirus_terrestris",5.62
"Tapirus_terrestris",5.62
"Tapirus_terrestris",10.91
"Tapirus_terrestris",9.78
"Tapirus_terrestris",3.51
"Tapirus_terrestris",4.4
"Tapirus_terrestris",6.32
"Tapirus_terrestris",2.81
"Tapirus_terrestris",8.78
"Tapirus_terrestris",7.45
"Tapirus_terrestris",4.89
"Tapirus_terrestris",4.21
"Tapirus_terrestris",4.21
"Tapirus_terrestris",6.32
"Tapirus_terrestris",3.51
"Tapirus_terrestris",4.21
"Tapirus_terrestris",12.48
"Tapirus_terrestris",13.22
"Tapirus_terrestris",4.92
"Tapirus_terrestris",46.66
"Tapirus_terrestris",4.13
"Tapirus_terrestris",3.97
"Tapirus_terrestris",3.51
"Tapirus_terrestris",5.62
"Tapirus_terrestris",3.97
"Tapirus_terrestris",5.45
"Tapirus_terrestris",4.21
"Tapirus_terrestris",4.21
"Tapirus_terrestris",4
"Tapirus_terrestris",5.55
"Tapirus_terrestris",2.81
"Tapirus_terrestris",5.97
"Tapirus_terrestris",6.91
"Tapirus_terrestris",13.34
"Tapirus_terrestris",4.21
"Tapirus_terrestris",8.43
"Tapirus_terrestris",3.97
"Tapirus_terrestris",7.54
"Tapirus_terrestris",2.81
"Tapirus_terrestris",5.45
"Tapirus_terrestris",4.47
"Tapirus_terrestris",15.95
"Tapirus_terrestris",4.97
"Tapirus_terrestris",4.92
"Tapirus_terrestris",2.81
"Tapirus_terrestris",5.2
"Tapirus_terrestris",6.28
"Tapirus_terrestris",4.44
"Tapirus_terrestris",3.51
"Tapirus_terrestris",4.47
"Tapirus_terrestris",5.96
"Tapirus_terrestris",4.48
"Tapirus_terrestris",6.32
"Tapirus_terrestris",4.97
"Tapirus_terrestris",5.62
"Tapirus_terrestris",8.88
"Tapirus_terrestris",6.95
"Tapirus_terrestris",20.27
"Tapirus_terrestris",6.04
"Tapirus_terrestris",9.83
"Tapirus_terrestris",3.51
"Tapirus_terrestris",3.48
"Tapirus_terrestris",4.13
"Tapirus_terrestris",13.19
"Tapirus_terrestris",11.19
"Tapirus_terrestris",6.22
"Tapirus_terrestris",5.62
"Tapirus_terrestris",3.51
"Tapirus_terrestris",3.97
"Tapirus_terrestris",2.98
"Tapirus_terrestris",10.46
"Tapirus_terrestris",6.03
"Tapirus_terrestris",14.82
"Tapirus_terrestris",5.96
"Tapirus_terrestris",6.56
"Tapirus_terrestris",3.51
"Tapirus_terrestris",5.62
"Tapirus_terrestris",4.21
"Tapirus_terrestris",18.22
"Tapirus_terrestris",11.69
"Tapirus_terrestris",3.51
"Tapirus_terrestris",10.53
"Tapirus_terrestris",12.91
"Tapirus_terrestris",6.26
"Tapirus_terrestris",4.21
"Tapirus_terrestris",7.02
"Tapirus_terrestris",19.66
"Tapirus_terrestris",3.48
"Tapirus_terrestris",3.46
"Tapirus_terrestris",4.21
"Tapirus_terrestris",3.48
"Tapirus_terrestris",4.21
"Tapirus_terrestris",19.82
"Tapirus_terrestris",14.46
"Tapirus_terrestris",6.32
"Tapirus_terrestris",6.91
"Tapirus_terrestris",2.81
"Tapirus_terrestris",7.45
"Tapirus_terrestris",3.51
"Tapirus_terrestris",9.52
"Tapirus_terrestris",7.73
"Tapirus_terrestris",2.81
"Tapirus_terrestris",5.62
"Tapirus_terrestris",4.92
"Tapirus_terrestris",4.44
"Tapirus_terrestris",2.81
