"source","width"
"blood",5.35
"blood",7.41
"blood",8.46
"blood",4.94
"blood",4.99
"blood",4.96
"blood",3.53
"blood",6.98
"blood",11.94
"blood",4.23
"blood",5.8
"blood",3.99
"blood",9.57
"blood",7.57
"blood",9.97
"blood",4.99
"blood",12.08
"blood",5.64
"blood",5.64
"blood",5.56
"blood",15.26
"blood",2.52
"blood",3.53
"blood",2.99
"blood",12.69
"blood",11.28
"blood",8.03
"blood",11.98
"blood",4.94
"blood",8.89
"blood",5.98
"blood",5.81
"blood",4.9
"blood",3.99
"blood",11.15
"blood",5.8
"blood",3.99
"blood",4.9
"blood",5.98
"blood",2.68
"blood",1.41
"blood",6.49
"blood",6.62
"blood",5.98
"blood",12.69
"blood",5.35
"blood",4.94
"blood",6.98
"blood",4.58
"blood",4.01
"blood",3.53
"blood",6.98
"blood",6.98
"blood",11.04
"blood",5.53
"blood",12.73
"blood",3.99
"blood",8.69
"blood",8.97
"blood",5.8
"blood",7.33
"blood",10.97
"blood",5.68
"blood",9.32
"blood",7.13
"blood",3.36
"blood",4.23
"blood",5.35
"blood",6.98
"blood",8.97
"blood",5.64
"blood",10.97
"blood",6.77
"blood",6.67
"blood",10.4
"blood",3.87
"blood",7.98
"blood",5.98
"blood",4.99
"blood",8.97
"blood",4.1
"blood",3.12
"blood",13.96
"blood",5.64
"blood",3.6
"blood",5.98
"blood",8.97
"blood",9.81
"blood",12
"blood",15.09
"blood",2.99
"blood",3.12
"blood",7.98
"blood",12.24
"blood",6.35
"blood",7.8
"blood",5.17
"blood",10.7
"blood",3.12
"blood",2.97
"blood",4.19
"blood",2.97
"blood",3.75
"blood",3.98
"blood",2.97
"blood",3.54
"blood",5.3
"blood",5.73
"blood",4.19
"blood",2.65
"blood",3.36
"blood",5.93
"blood",2.97
"blood",3.94
"blood",2.65
"blood",3.95
"blood",2.8
"blood",3.95
"blood",5.3
"blood",2.21
"blood",5.93
"blood",5.93
"blood",3.49
"blood",5.59
"blood",4.94
"blood",5.59
"blood",18.72
"blood",4.42
"blood",2.97
"blood",4.89
"blood",3.95
"blood",6.92
"blood",5.86
"blood",2.97
"blood",12.46
"blood",4.31
"blood",2.97
"blood",2.8
"blood",4.94
"blood",3.6
"blood",5.21
"blood",3.49
"blood",4.94
"blood",6.19
"blood",6.23
"blood",2.97
"blood",3.54
"blood",5.38
"blood",3.89
"blood",6.12
"blood",3.01
"blood",4.03
"blood",8.02
"blood",10.55
"blood",3.01
"blood",3.98
"blood",3.87
"blood",6.72
"blood",4.84
"blood",11.63
"blood",2.74
"blood",2.9
"blood",3.22
"blood",13.6
"blood",3.46
"blood",7.58
"blood",3.97
